id,posts,id_from_user,id_to_user,time,content,viewed
1,message,22,893,2021-10-14 13:08:58,Multi-tiered disintermediate ability,no
2,story,220,0,2021-10-14 06:44:56,Open-source regional superstructure,public
3,message,266,150,2021-10-14 04:38:36,User-centric well-modulated focus group,no
4,story,325,0,2021-10-14 14:50:06,User-centric national superstructure,public
5,message,973,373,2021-10-15 18:48:17,Distributed local array,yes
6,story,883,0,2021-10-14 06:36:13,De-engineered human-resource instruction set,public
7,message,450,269,2021-10-15 12:33:03,Open-architected actuating time-frame,no
8,story,530,0,2021-10-15 19:38:09,Distributed radical knowledge user,public
9,message,956,259,2021-10-14 04:53:58,Reactive encompassing parallelism,no
10,story,991,0,2021-10-15 13:31:14,Virtual multimedia complexity,public
11,message,580,62,2021-10-14 12:43:58,Focused full-range throughput,no
12,story,866,0,2021-10-15 16:24:16,Reverse-engineered neutral alliance,public
13,message,291,177,2021-10-15 07:13:34,Synergized exuding architecture,no
14,story,319,0,2021-10-15 08:53:04,Programmable 6th generation solution,public
15,message,9,227,2021-10-15 07:08:07,Versatile executive hub,yes
16,story,203,0,2021-10-15 22:53:51,Decentralized didactic contingency,public
17,message,913,793,2021-10-15 05:29:57,Grass-roots fault-tolerant structure,yes
18,story,669,0,2021-10-15 02:37:17,Visionary context-sensitive algorithm,public
19,message,992,906,2021-10-15 04:37:22,Mandatory high-level support,yes
20,story,374,0,2021-10-15 15:35:33,Pre-emptive systematic infrastructure,public
21,message,901,496,2021-10-14 03:47:19,Re-contextualized modular focus group,yes
22,story,69,0,2021-10-14 21:10:48,Synergistic object-oriented flexibility,public
23,message,10,233,2021-10-15 14:51:31,Customer-focused full-range productivity,no
24,story,803,0,2021-10-15 10:46:34,Re-engineered leading edge portal,public
25,message,674,810,2021-10-15 19:40:47,Devolved methodical knowledge user,yes
26,story,421,0,2021-10-15 08:46:37,Cloned needs-based budgetary management,public
27,message,330,331,2021-10-14 11:04:21,Configurable local methodology,yes
28,story,645,0,2021-10-15 03:35:47,Proactive client-server info-mediaries,public
29,message,415,315,2021-10-14 04:45:24,Ergonomic object-oriented encryption,yes
30,story,127,0,2021-10-14 21:06:43,Public-key optimizing help-desk,public
31,message,497,592,2021-10-14 21:09:11,Managed maximized firmware,no
32,story,560,0,2021-10-15 03:42:32,Compatible transitional extranet,public
33,message,975,766,2021-10-15 05:09:02,Multi-layered methodical core,yes
34,story,853,0,2021-10-15 09:56:54,Automated 3rd generation website,public
35,message,186,559,2021-10-14 11:45:29,Team-oriented 24 hour matrices,no
36,story,114,0,2021-10-14 05:29:28,Enterprise-wide cohesive capacity,public
37,message,386,102,2021-10-14 20:45:43,Business-focused local productivity,yes
38,story,496,0,2021-10-15 01:24:40,Universal fault-tolerant synergy,public
39,message,784,347,2021-10-15 22:20:22,Balanced hybrid contingency,no
40,story,393,0,2021-10-15 20:08:27,Assimilated bi-directional task-force,public
41,message,907,15,2021-10-15 08:38:35,Fundamental eco-centric knowledge base,no
42,story,359,0,2021-10-15 21:56:34,Multi-lateral incremental access,public
43,message,168,741,2021-10-15 18:11:41,Enhanced homogeneous concept,yes
44,story,684,0,2021-10-14 00:09:05,Exclusive 4th generation hardware,public
45,message,672,490,2021-10-14 04:41:30,Organized systematic info-mediaries,yes
46,story,506,0,2021-10-14 14:47:28,Profit-focused high-level ability,public
47,message,368,919,2021-10-15 03:57:21,Face to face needs-based groupware,no
48,story,171,0,2021-10-14 00:28:48,Right-sized optimizing synergy,public
49,message,312,740,2021-10-14 17:29:10,Horizontal user-facing toolset,yes
50,story,522,0,2021-10-15 19:46:06,Inverse dynamic algorithm,public
51,message,329,282,2021-10-15 15:16:43,Switchable multimedia website,yes
52,story,268,0,2021-10-15 08:02:47,Profound mission-critical benchmark,public
53,message,474,768,2021-10-14 12:03:40,Seamless local moratorium,no
54,story,657,0,2021-10-14 07:50:07,Visionary neutral software,public
55,message,303,907,2021-10-14 02:52:16,Cross-group motivating instruction set,no
56,story,411,0,2021-10-14 14:48:26,Team-oriented bandwidth-monitored software,public
57,message,599,195,2021-10-15 22:37:52,Down-sized dynamic algorithm,yes
58,story,296,0,2021-10-15 17:05:31,Phased high-level application,public
59,message,802,421,2021-10-14 17:17:24,Exclusive dedicated website,no
60,story,301,0,2021-10-15 00:31:47,Pre-emptive fault-tolerant challenge,public
61,message,201,3,2021-10-15 10:23:05,Operative bi-directional model,no
62,story,184,0,2021-10-15 03:55:44,Virtual bottom-line model,public
63,message,594,777,2021-10-14 08:13:07,Exclusive non-volatile concept,no
64,story,725,0,2021-10-15 18:11:51,Devolved zero defect paradigm,public
65,message,810,389,2021-10-14 09:18:32,Seamless systematic frame,yes
66,story,825,0,2021-10-14 03:35:43,Organized clear-thinking orchestration,public
67,message,846,807,2021-10-15 22:39:16,Balanced heuristic knowledge user,no
68,story,563,0,2021-10-15 09:36:56,Innovative even-keeled help-desk,public
69,message,307,939,2021-10-15 10:09:13,Robust zero administration service-desk,no
70,story,531,0,2021-10-15 00:37:08,Synchronised discrete moratorium,public
71,message,467,786,2021-10-14 14:59:20,Multi-layered zero defect secured line,yes
72,story,63,0,2021-10-15 00:12:10,Streamlined cohesive knowledge base,public
73,message,885,155,2021-10-14 18:58:08,Multi-channelled grid-enabled contingency,no
74,story,449,0,2021-10-14 21:09:58,Multi-tiered tertiary algorithm,public
75,message,501,419,2021-10-14 03:44:07,Compatible human-resource collaboration,yes
76,story,767,0,2021-10-14 15:31:03,Multi-layered demand-driven local area network,public
77,message,915,994,2021-10-15 06:21:18,Re-engineered 5th generation firmware,yes
78,story,724,0,2021-10-15 05:47:49,Monitored incremental application,public
79,message,892,360,2021-10-14 09:03:34,Open-architected mobile policy,no
80,story,865,0,2021-10-14 18:30:00,Profound stable flexibility,public
81,message,374,606,2021-10-15 06:45:20,Re-contextualized empowering knowledge user,no
82,story,96,0,2021-10-14 20:55:33,Secured scalable software,public
83,message,213,106,2021-10-15 18:22:22,Function-based modular Graphical User Interface,yes
84,story,946,0,2021-10-14 18:39:18,Ergonomic asynchronous solution,public
85,message,771,275,2021-10-14 17:46:28,Proactive background system engine,no
86,story,873,0,2021-10-15 20:47:34,Cloned tangible database,public
87,message,259,462,2021-10-15 17:26:05,Grass-roots system-worthy approach,no
88,story,106,0,2021-10-15 00:17:07,Customizable 24/7 policy,public
89,message,395,191,2021-10-15 06:55:47,Monitored bifurcated local area network,no
90,story,719,0,2021-10-15 06:27:18,Organized bandwidth-monitored utilisation,public
91,message,99,743,2021-10-15 16:24:08,Open-source eco-centric infrastructure,yes
92,story,308,0,2021-10-14 05:06:35,User-centric client-driven productivity,public
93,message,62,614,2021-10-15 23:02:05,Operative value-added access,yes
94,story,106,0,2021-10-15 22:36:37,Proactive grid-enabled focus group,public
95,message,790,438,2021-10-14 23:33:57,Multi-lateral object-oriented structure,yes
96,story,440,0,2021-10-14 00:10:14,Profound real-time artificial intelligence,public
97,message,346,463,2021-10-15 18:39:41,Phased holistic extranet,yes
98,story,670,0,2021-10-15 00:38:35,Multi-channelled dedicated hardware,public
99,message,666,792,2021-10-14 01:32:12,Polarised clear-thinking strategy,no
100,story,547,0,2021-10-14 07:31:48,Centralized disintermediate adapter,public
101,message,205,823,2021-10-15 20:16:09,Down-sized content-based encoding,no
102,story,928,0,2021-10-14 07:56:05,Sharable neutral encoding,public
103,message,129,389,2021-10-14 00:10:09,Assimilated mobile archive,yes
104,story,826,0,2021-10-14 07:12:15,Triple-buffered foreground definition,public
105,message,187,159,2021-10-15 14:59:41,Proactive discrete hub,yes
106,story,305,0,2021-10-14 13:42:54,Customer-focused interactive time-frame,public
107,message,59,242,2021-10-14 14:10:29,Organized demand-driven focus group,yes
108,story,696,0,2021-10-15 02:53:41,Organic empowering projection,public
109,message,932,739,2021-10-14 07:43:57,Ameliorated object-oriented array,no
110,story,595,0,2021-10-14 02:30:56,Grass-roots optimizing encryption,public
111,message,688,901,2021-10-15 22:26:43,Persistent homogeneous emulation,no
112,story,261,0,2021-10-14 01:35:22,Proactive local support,public
113,message,260,596,2021-10-15 06:13:29,Universal motivating solution,no
114,story,823,0,2021-10-15 14:53:55,Cross-platform tertiary service-desk,public
115,message,786,904,2021-10-15 19:05:06,Reduced optimizing matrix,yes
116,story,706,0,2021-10-15 19:03:30,Assimilated 24/7 workforce,public
117,message,881,108,2021-10-14 08:03:53,Operative content-based moderator,yes
118,story,929,0,2021-10-14 11:16:25,Focused regional attitude,public
119,message,48,364,2021-10-14 04:01:54,Streamlined needs-based paradigm,no
120,story,537,0,2021-10-14 00:24:43,Reduced upward-trending collaboration,public
121,message,476,38,2021-10-15 05:17:39,Compatible systematic workforce,no
122,story,75,0,2021-10-15 21:19:49,Profit-focused actuating moderator,public
123,message,366,4,2021-10-15 07:49:30,Sharable incremental productivity,yes
124,story,146,0,2021-10-15 15:38:36,User-friendly attitude-oriented neural-net,public
125,message,472,910,2021-10-14 20:04:01,Advanced next generation core,yes
126,story,255,0,2021-10-14 13:19:30,Synergized neutral framework,public
127,message,614,359,2021-10-15 09:54:24,Polarised 24/7 pricing structure,yes
128,story,321,0,2021-10-15 07:16:46,Reduced intangible conglomeration,public
129,message,720,730,2021-10-14 09:26:32,Innovative bi-directional neural-net,yes
130,story,124,0,2021-10-14 20:01:05,Mandatory systemic internet solution,public
131,message,450,205,2021-10-14 23:16:18,Ameliorated dynamic website,yes
132,story,779,0,2021-10-15 15:06:43,Upgradable bi-directional adapter,public
133,message,665,761,2021-10-15 08:47:18,Decentralized user-facing structure,yes
134,story,808,0,2021-10-14 08:02:40,Triple-buffered interactive matrix,public
135,message,768,491,2021-10-15 18:20:38,Reduced value-added focus group,no
136,story,828,0,2021-10-14 14:55:56,Extended national array,public
137,message,100,688,2021-10-15 17:28:41,Seamless multi-tasking software,no
138,story,661,0,2021-10-14 02:01:45,Quality-focused global internet solution,public
139,message,122,738,2021-10-15 18:24:52,Optimized empowering website,no
140,story,14,0,2021-10-15 22:38:13,User-friendly contextually-based help-desk,public
141,message,103,235,2021-10-15 13:01:34,Up-sized 5th generation encryption,no
142,story,486,0,2021-10-15 17:13:43,Synchronised secondary Graphical User Interface,public
143,message,922,475,2021-10-15 13:42:21,Ameliorated attitude-oriented functionalities,yes
144,story,636,0,2021-10-14 04:56:02,Versatile executive model,public
145,message,208,288,2021-10-15 14:49:43,Phased multi-state solution,yes
146,story,517,0,2021-10-14 06:07:24,Persevering background architecture,public
147,message,338,286,2021-10-14 17:14:30,Pre-emptive real-time orchestration,yes
148,story,279,0,2021-10-14 12:11:49,Upgradable background challenge,public
149,message,459,542,2021-10-15 03:32:19,Business-focused value-added architecture,yes
